"run","tick","Wolf Count","Sheep Count"
1,1.0,84956,54548
1,2.0,94720,57545
1,3.0,106043,60315
1,4.0,118122,62912
1,5.0,131477,64966
1,6.0,145982,66582
1,7.0,161864,67974
1,8.0,179455,69197
1,9.0,197690,70483
1,10.0,217315,72233
1,11.0,237250,74427
1,12.0,257629,77250
1,13.0,277958,80668
1,14.0,297445,84681
1,15.0,314215,89405
1,16.0,328708,94760
1,17.0,339645,100887
1,18.0,346086,107697
1,19.0,347790,115570
1,20.0,344256,124167
1,21.0,335885,133327
1,22.0,322386,143551
1,23.0,304346,154426
1,24.0,281128,166101
1,25.0,253315,178843
1,26.0,224437,192157
1,27.0,194235,206135
1,28.0,166086,220519
1,29.0,141411,235057
1,30.0,119324,249316
1,31.0,101229,263404
1,32.0,85975,276433
1,33.0,73674,288079
1,34.0,63604,297868
1,35.0,55589,305557
1,36.0,49067,310522
1,37.0,43884,313213
1,38.0,39712,312831
1,39.0,36399,310535
1,40.0,33565,305651
1,41.0,31253,297862
1,42.0,29706,288370
1,43.0,28530,277368
1,44.0,27650,264555
1,45.0,27172,250643
1,46.0,26943,236115
1,47.0,27204,221134
1,48.0,27790,206455
1,49.0,28600,192227
1,50.0,29891,178504
1,51.0,31409,165184
1,52.0,33402,152500
1,53.0,35875,140344
1,54.0,38862,129316
1,55.0,42442,119424
1,56.0,46477,110165
1,57.0,51339,101971
1,58.0,56925,94645
1,59.0,63642,88234
1,60.0,71216,82826
1,61.0,80014,78468
1,62.0,90275,74799
1,63.0,101992,71660
1,64.0,115794,69325
1,65.0,131178,67526
1,66.0,148005,66496
1,67.0,166817,66203
1,68.0,187024,66313
1,69.0,208516,67106
1,70.0,230553,68808
1,71.0,252442,70942
1,72.0,272730,73841
1,73.0,289644,77316
1,74.0,302461,81535
1,75.0,309812,86337
1,76.0,309978,91656
1,77.0,303507,97632
1,78.0,290177,104249
1,79.0,272130,111460
1,80.0,250247,119177
1,81.0,226888,127120
1,82.0,203887,135681
1,83.0,182856,144391
1,84.0,163456,153288
1,85.0,146912,162026
1,86.0,133329,170957
1,87.0,121591,179264
1,88.0,112587,187557
1,89.0,105008,194942
1,90.0,99197,201862
1,91.0,94303,207839
1,92.0,90105,213134
1,93.0,87336,217857
1,94.0,85109,221355
1,95.0,83330,224106
1,96.0,81630,226129
1,97.0,80628,226279
1,98.0,79490,226070
1,99.0,78776,225602
1,100.0,78207,224226
1,101.0,77503,222518
1,102.0,77198,220727
1,103.0,77080,218302
1,104.0,77313,215492
1,105.0,77570,212435
1,106.0,77791,209079
1,107.0,78130,205832
1,108.0,78773,202598
1,109.0,79860,198561
1,110.0,80783,195151
1,111.0,81814,191972
1,112.0,82793,188443
1,113.0,84525,184860
1,114.0,86294,181367
1,115.0,88567,178149
1,116.0,90878,175428
1,117.0,93670,172449
1,118.0,96244,169871
1,119.0,99228,167833
1,120.0,102454,165973
1,121.0,105969,164347
1,122.0,109287,163293
1,123.0,112754,162272
1,124.0,116443,161913
1,125.0,119956,161760
1,126.0,123785,162156
1,127.0,127211,162996
1,128.0,129954,164097
1,129.0,132603,165403
1,130.0,134781,167151
1,131.0,136215,169377
1,132.0,137363,171830
1,133.0,137772,174689
1,134.0,137724,177752
1,135.0,136953,180522
1,136.0,135778,183873
1,137.0,133807,186739
1,138.0,131757,190547
1,139.0,128487,194298
1,140.0,125259,197931
1,141.0,121610,201868
1,142.0,117639,205306
1,143.0,113886,208542
1,144.0,109853,211816
1,145.0,105807,215087
1,146.0,101935,217734
1,147.0,98338,220003
1,148.0,95265,221515
1,149.0,92091,222507
1,150.0,89411,223123
1,151.0,86846,223009
1,152.0,84673,222322
1,153.0,82810,221373
1,154.0,81281,220047
1,155.0,79860,218299
1,156.0,78691,215404
1,157.0,78271,212777
1,158.0,78056,209786
1,159.0,78006,206627
1,160.0,78074,202608
1,161.0,78546,198952
1,162.0,79406,195523
1,163.0,80356,191757
1,164.0,81775,188126
1,165.0,83597,184311
1,166.0,85552,180423
1,167.0,87919,177348
1,168.0,90516,174094
1,169.0,93513,170944
1,170.0,96456,168144
1,171.0,99695,165802
1,172.0,103137,163856
1,173.0,106728,161927
1,174.0,110631,160655
1,175.0,114297,160155
1,176.0,118288,159723
1,177.0,121990,159454
1,178.0,125397,159668
1,179.0,128844,160478
1,180.0,131939,161525
1,181.0,134254,162993
1,182.0,136731,164884
1,183.0,138255,167019
1,184.0,139297,169515
1,185.0,139580,172766
1,186.0,139327,175897
1,187.0,138327,179233
1,188.0,136975,182717
1,189.0,134603,186804
1,190.0,132228,190198
1,191.0,129082,193956
1,192.0,125553,197943
1,193.0,121910,201593
1,194.0,118238,204937
1,195.0,114185,208213
1,196.0,110313,211169
1,197.0,106575,213931
1,198.0,102613,216378
1,199.0,99026,217908
1,200.0,95587,219573
